2025-12-10 20:35:25 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:35:25 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:35:25 | INFO  | p_main_gui | global_load:load_global_setting:48 | UFC_UGC_ZOS_config配置文件读取成功。  
2025-12-10 20:35:25 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:35:25 | INFO  | p_main_gui | main_gui:start_qt_application:141 | start Qt  
2025-12-10 20:35:25 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 43624 has been started！  
2025-12-10 20:35:25 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:35:26 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 45176 has been started！  
2025-12-10 20:35:26 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 45904 has been started！  
2025-12-10 20:35:26 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 46832 has been started！  
2025-12-10 20:35:26 | INFO  | p_main_gui | main_gui:start_qt_application:166 | Appliacation start  
2025-12-10 20:35:33 | ERROR  | p_main_gui | main_gui:quit_qt_application:86 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 20:38:14 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:38:14 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x000001F4DC3F8900>  
2025-12-10 20:38:14 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:38:14 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x000001F4E51C2E10>, <multiprocessing.queues.Queue object at 0x000001F4E4E87490>)  
2025-12-10 20:38:14 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:38:14 | INFO  | p_main_gui | main_gui:main:186 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:38:14 | INFO  | p_main_gui | main_gui:main:187 | Service.main_gui | main_gui.py|4920|49468  
2025-12-10 20:38:14 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:38:14 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:38:14 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:38:14 | ERROR  | p_main_gui | global_load:load_global_setting:50 | UFC_UGC_ZOS_config配置文件读取失败。  
2025-12-10 20:38:14 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:38:14 | INFO  | p_main_gui | main_gui:start_qt_application:141 | start Qt  
2025-12-10 20:38:14 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 50052 has been started！  
2025-12-10 20:38:14 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:38:16 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 50152 has been started！  
2025-12-10 20:38:16 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 50144 has been started！  
2025-12-10 20:38:16 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 50156 has been started！  
2025-12-10 20:38:16 | INFO  | p_main_gui | main_gui:start_qt_application:166 | Appliacation start  
2025-12-10 20:38:19 | ERROR  | p_main_gui | main_gui:quit_qt_application:86 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 20:39:36 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:39:36 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x0000018DBEDE8900>  
2025-12-10 20:39:36 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:39:36 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x0000018DC7B7F5D0>, <multiprocessing.queues.Queue object at 0x0000018DC6134AD0>)  
2025-12-10 20:39:36 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:39:36 | INFO  | p_main_gui | main_gui:main:186 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:39:36 | INFO  | p_main_gui | main_gui:main:187 | Service.main_gui | main_gui.py|50924|50632  
2025-12-10 20:39:36 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:39:36 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:39:36 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:39:36 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:39:36 | INFO  | p_main_gui | main_gui:start_qt_application:141 | start Qt  
2025-12-10 20:39:36 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 30432 has been started！  
2025-12-10 20:39:36 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:39:41 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 50076 has been started！  
2025-12-10 20:39:41 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 49200 has been started！  
2025-12-10 20:39:41 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 49256 has been started！  
2025-12-10 20:39:41 | INFO  | p_main_gui | main_gui:start_qt_application:166 | Appliacation start  
2025-12-10 20:39:47 | ERROR  | p_main_gui | main_gui:quit_qt_application:86 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 20:44:59 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:44:59 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x0000013C0F158900>  
2025-12-10 20:44:59 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:44:59 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x0000013C17F23350>, <multiprocessing.queues.Queue object at 0x0000013C1660F6D0>)  
2025-12-10 20:44:59 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:44:59 | INFO  | p_main_gui | main_gui:main:188 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:44:59 | INFO  | p_main_gui | main_gui:main:189 | Service.main_gui | main_gui.py|8820|49908  
2025-12-10 20:44:59 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:44:59 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:44:59 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:44:59 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:44:59 | INFO  | p_main_gui | main_gui:start_qt_application:142 | start Qt  
